id,brand_id,model,description,storage_gb,ram_gb,color,condition,battery_health,imei,cost_price,selling_price,status,purchase_date,supplier_id,notes,created_at,updated_at,tax_rate,is_tax_inclusive,is_tax_exempt,condition_rating,pta_status,product_type,accessory_category,compatible_models,material,warranty_months,weight_grams,dimensions,is_featured,model_id,variant_id
c7173687-dbad-4c19-a52c-366428ea7a76,33333333-3333-3333-3333-333333333333,Google Pixel 7a,,128,8,Sea,open_box,,,54000,58000,available,,,,2026-04-23 23:03:11.58157+00,2026-05-13 18:00:28.906157+00,0,f,f,10,pta_approved,phone,,,,,,,f,66383248-ca78-5558-886a-1e5f006cbd8c,c2b09ec4-5113-5452-82bc-4b7bf4329913
2a8c1771-f869-4fec-b277-3481982bd5bb,33333333-3333-3333-3333-333333333333,Google Pixel 7a,,128,8,Sea,open_box,,,54000,58000,available,,,,2026-04-23 23:03:11.58157+00,2026-05-13 18:00:28.906157+00,0,f,f,10,pta_approved,phone,,,,,,,f,66383248-ca78-5558-886a-1e5f006cbd8c,c2b09ec4-5113-5452-82bc-4b7bf4329913
6f1651f1-ea60-4423-8687-5d0c7cd7f9c2,33333333-3333-3333-3333-333333333333,Google Pixel 7a,,128,8,Sea,open_box,,,54000,58000,available,,,,2026-04-23 23:03:11.58157+00,2026-05-13 18:00:28.906157+00,0,f,f,10,pta_approved,phone,,,,,,,f,66383248-ca78-5558-886a-1e5f006cbd8c,c2b09ec4-5113-5452-82bc-4b7bf4329913
d6785e82-2386-4121-a169-b685ccf1d15f,33333333-3333-3333-3333-333333333333,Google Pixel 7a,,128,8,Charcoal,open_box,,,54000,58000,available,,,,2026-04-23 23:03:11.58157+00,2026-05-13 18:00:28.906157+00,0,f,f,10,pta_approved,phone,,,,,,,f,66383248-ca78-5558-886a-1e5f006cbd8c,c2b09ec4-5113-5452-82bc-4b7bf4329913
7b7da788-d9bb-47bc-940a-dfe0701b055f,33333333-3333-3333-3333-333333333333,Google Pixel 7a,,128,8,Charcoal,open_box,,,54000,58000,available,,,,2026-04-23 23:03:11.58157+00,2026-05-13 18:00:28.906157+00,0,f,f,10,pta_approved,phone,,,,,,,f,66383248-ca78-5558-886a-1e5f006cbd8c,c2b09ec4-5113-5452-82bc-4b7bf4329913
be62ee55-1476-42fe-a8e7-e3c696206ce2,33333333-3333-3333-3333-333333333333,Google Pixel 7a,,128,8,Snow,open_box,,,54000,58000,available,,,,2026-04-23 23:03:11.58157+00,2026-05-13 18:00:28.906157+00,0,f,f,10,pta_approved,phone,,,,,,,f,66383248-ca78-5558-886a-1e5f006cbd8c,c2b09ec4-5113-5452-82bc-4b7bf4329913
45deccbb-ed8a-4963-95dd-c89b9e4efc10,33333333-3333-3333-3333-333333333333,Google Pixel 7a,,128,8,Snow,open_box,,,54000,58000,available,,,,2026-04-23 23:03:11.58157+00,2026-05-13 18:00:28.906157+00,0,f,f,10,pta_approved,phone,,,,,,,f,66383248-ca78-5558-886a-1e5f006cbd8c,c2b09ec4-5113-5452-82bc-4b7bf4329913
8f53c30e-6a3f-46c8-ade9-7945e76e3edd,33333333-3333-3333-3333-333333333333,Google Pixel 7a,,128,8,Snow,open_box,,,54000,58000,available,,,,2026-04-23 23:03:11.58157+00,2026-05-13 18:00:28.906157+00,0,f,f,10,pta_approved,phone,,,,,,,f,66383248-ca78-5558-886a-1e5f006cbd8c,c2b09ec4-5113-5452-82bc-4b7bf4329913
20119f3c-0e18-4b73-99d9-42877c92dbe6,33333333-3333-3333-3333-333333333333,Google Pixel 7a,,128,8,Snow,open_box,,,54000,58000,available,,,,2026-04-23 23:03:11.58157+00,2026-05-13 18:00:28.906157+00,0,f,f,10,pta_approved,phone,,,,,,,f,66383248-ca78-5558-886a-1e5f006cbd8c,c2b09ec4-5113-5452-82bc-4b7bf4329913
a6861bb6-1c4a-4c1d-8efb-1eabfefa7df2,33333333-3333-3333-3333-333333333333,Google Pixel 7a,,128,8,Snow,open_box,,,54000,58000,available,,,,2026-04-23 23:03:11.58157+00,2026-05-13 18:00:28.906157+00,0,f,f,10,pta_approved,phone,,,,,,,f,66383248-ca78-5558-886a-1e5f006cbd8c,c2b09ec4-5113-5452-82bc-4b7bf4329913
